pid,productName,productDesc,productCat,productCount
1,爆漫王。,作：大场鸫 / 画：小畑健、集英社,漫画,800
2,花牌情缘,末次由纪、讲谈社,漫画,30
3,进击的巨人,谏山创、讲谈社,漫画,139
4,怪医黑杰克的诞生：手冢治虫的创作秘辛,作：宫崎克 / 画：吉本浩二、秋田书店,漫画,50
5,物语系列,西尾维新 / 插画：VOFAN	讲谈社BOX,轻小说,50
6,火星异种,作：贵家悠 / 画：橘贤一、集英社,漫画,1
7,俺物语!!,作：河原和音 / 画：或子、集英社,漫画,20
8,声之形,大今良时、讲谈社,漫画,55
9,龙王的工作！,白鸟士郎、GA文库,轻小说,5
10,Re:从零开始的异世界生活,作：长月达平 / 插画：大冢真一郎、MF文库J,轻小说,28
11,新约魔法禁书目录,作：镰池和马 / 插画：灰村清孝、电击文库,轻小说,85
12,为美好的世界献上祝福！,晓夏目 / 插画：三嶋黑音、角川Sneaker文库,轻小说,5
13,青春猪头少年系列,鸭志田一 / 插画：沟口凯吉、电击文库,轻小说,25
14,在地下城寻求邂逅是否搞错了什么,大森藤野 / 插画：安田典生、GA文库,轻小说,15
15,OVERLORD,丸山黄金 / 插画：so-bin、enterbrain → KADOKAWA,轻小说,88
16,转生成蜘蛛又怎样！,马场翁 / 插画：辉龙司、KADOKAWA BOOKS,轻小说,88
17,关于我转生变成史莱姆这档事,伏濑 / 插画：みっつばー、GC NOVELS,轻小说,88
18,坤坤的背带裤,"",裤子,2333
19,坤坤的篮球,"",篮球,1
20,坤坤的只因,"",食品,8
21,小黑子,Integer.MAX,你干嘛~,2147483647
24,嗷嗷,嗷嗷,嗷嗷,20
25,针不戳,针不戳,针不戳,446
